videoId,commentId,authorDisplayName,textOriginal,likeCount,student_1,student_2,student_3
BpqsCqqgk0w,UgxRbThJYyBXrCiOjMZ4AaABAg.90EP-UYCzy590Iec3tyT8B,David Yang,qiying law 日本 中共 哪一個不在乎老美的態度？,215,,有關-中立0,有關-親美1
BpqsCqqgk0w,UgxRu9MQQeaxON8Z_ah4AaABAg,Jennifer Yue,韓市長可以讓美國追求台灣又可讓中國嚮往台灣，二者之間做智慧的選擇、交往讓台灣優先、台灣安全、人民有錢可賺、庶民生活安定繁榮。,215,,有關-中立0,無關對美立場
BpqsCqqgk0w,Ugx_-yf3W5vRPpmBXC54AaABAg,World Peace,韓國瑜不去是對的、現在美國是力挺蔡英文、把那些時間傾聽民意最重要、只有打贏111大選後、美國自然會重視你。,235,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,Ugxh30PYZj2rpJTkMRx4AaABAg,LHM LFF,為什麼選台灣總統要答美國的問題？真可悲！,232,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,Ugxqr2_3Ny3hCJjxNul4AaABAg,HC C,"不去是正確決定，避免被黑。
節目下標錯了「取消赴美」，訪美不是既定安排的行程，何來「取消」？",238,,有關-仇美-1,無關對美立場
BpqsCqqgk0w,Ugy1qcUYoH-nSfTGoKR4AaABAg,Kelly K,美國不會在乎現任政府的貪污和酬庸，當然也不會在意台灣老百姓的生活.  美國只在乎他在亞太地區的勢力.  蔡政府只要抱好美國大腿就行然後継續貪，繼續騙下去.,205,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,Ugy2AfmomX-gtOPCbc54AaABAg,高崇銘,當選後再去謝華僑的票，誰說一定選前去美國面試！,254,,有關-仇美-1,有關-中立0
BpqsCqqgk0w,Ugy7ZE25Q8qNweydDm14AaABAg,李傳豪,"韓國瑜市長不必再來美國,符合本人所想.",230,,有關-中立0,有關-仇美-1
BpqsCqqgk0w,UgyEOI9eleFmf2ic-QV4AaABAg,米飛,現在去美國也沒多大用處.因為小英一定用力卡.不如選後再來談.,211,,有關-仇美-1,無關對美立場
BpqsCqqgk0w,UgyGE8LJfdxfPvUrntR4AaABAg,mingdong chen,美國莫健告知在英國倫敦將有一場國際記者會，結果是菜全敗，菜將是失去身分。,231,,有關-中立0,無關對美立場
BpqsCqqgk0w,Ugyl4GoM0NpIDxJCacZ4AaABAg,東明,選總統關美國鳥事 要去美國不如去阿拉伯,244,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,UgyoR4nFO2WWn90gqIB4AaABAg,Fu chun Tsao,"中華民國總統為什麼一定要去美國？
真正的面試官是中華民國公民吧！",245,,有關-仇美-1,無關對美立場
BpqsCqqgk0w,UgyvXD5Cp4mLGLqt_GZ4AaABAg,Jennifer Yue,勇敢的韓市長，對美國説［不］，美國只會説美國優先的自私自利的優越感，現在美國裡外都已經衰退中乾了。,213,,有關-仇美-1,有關-仇美-1
BpqsCqqgk0w,Ugz27EFqeplefIAnpMp4AaABAg,專治賤嘴爛嘴Big George,很明顯，米國人都看好韓總，讚啦！,212,,有關-中立0,有關-親美1
BpqsCqqgk0w,Ugz3bUKN8vdjQvJYYOt4AaABAg,＊一一＊,韓要小心美國報復 這個國家極其邪惡特別愛控制干涉小國政權 保護費不滿意他就整死你,218,,有關-仇美-1,有關-仇美-1
